ca,as
eu,I
lui,his
că,that
el,he
a fost,was
pentru,for
pe,on
sunt,are
cu,with
ei,they
fie,be
la,at
una,one
au,have
acest,this
de la,from
de,by
fierbinte,hot
cuvânt,word
dar,but
ce,what
unele,some
este,is
ea,it
tu,you
sau,or
a avut,had
a făcut,the
de,of
la,to
și,and
o,a
în,in
noi,we
poate,can
afară,out
alte,other
au fost,were
care,which
face,do
lor,their
timp,time
dacă,if
va,will
cum,how
a declarat,said
o,an
fiecare,each
spune,tell
nu,does
set,set
trei,three
vrea,want
aer,air
bine,well
"De asemenea,",also
juca,play
mic,small
capăt,end
pune,put
home,home
citeste,read
mână,hand
portul,port
mare,large
scrie,spell
adăuga,add
chiar,even
teren,land
aici,here
must,must
mare,big
mare,high
astfel de,such
urma,follow
act,act
de ce,why
cere,ask
bărbați,men
schimbare,change
a mers,went
lumina,light
fel,kind
de pe,off
nevoie,need
casă,house
imagine,picture
încercați,try
ne,us
din nou,again
animal,animal
punct,point
mamă,mother
lume,world
în apropiere,near
construi,build
auto,self
pământ,earth
tatal,father
orice,any
nou,new
locul de muncă,work
parte,part
ia,take
obține,get
loc,place
a făcut,made
trăi,live
unde,where
după,after
înapoi,back
mic,little
numai,only
rotund,round
om,man
an,year
a venit,came
spectacol,show
fiecare,every
bun,good
mi-,me
da,give
nostru,our
sub,under
nume,name
foarte,very
prin,through
doar,just
formă,form
propoziție,sentence
mare,great
cred,think
spune,say
ajuta,help
scăzut,low
linie,line
diferă,differ
"rândul său,",turn
cauza,cause
mult,much
Adică,mean
înainte,before
mișcare,move
dreapta,right
băiat,boy
vechi,old
prea,too
același,same
ea,she
toate,all
acolo,there
când,when
în sus,up
utilizare,use
dumneavoastră,your
cale,way
despre,about
multe,many
apoi,then
lor,them
Trimite,write
ar,would
ca,like
așa,so
acestea,these
ei,her
lung,long
face,make
lucru,thing
vezi,see
l,him
două,two
are,has
uita-te,look
mai mult,more
zi,day
ar putea,could
merge,go
vin,come
a făcut,did
număr,number
sunet,sound
nu,no
cel mai,most
oameni,people
meu,my
peste,over
cunoaște,know
de apă,water
decât,than
apel,call
primul,first
care,who
putea,may
jos,down
lateral,side
fost,been
acum,now
găsi,find
cap,head
stand,stand
propriu,own
pagina,page
ar trebui,should
țară,country
găsite,found
răspuns,answer
școală,school
crește,grow
studiu,study
încă,still
învăța,learn
plantă,plant
capac,cover
alimente,food
soare,sun
patru,four
între,between
de stat,state
păstra,keep
ochi,eye
niciodată,never
trecut,last
lăsa,let
gând,thought
oraș,city
copac,tree
cruce,cross
fermă,farm
greu,hard
Start,start
s-ar putea,might
poveste,story
ferăstrău,saw
mult,far
mare,sea
trage,draw
stânga,left
târziu,late
a alerga,run
nu face,don’t
în timp ce,while
presă,press
aproape,close
noapte,night
reală,real
viață,life
puțini,few
nord,north
carte,book
efectueze,carry
a luat,took
știință,science
mânca,eat
cameră,room
prieten,friend
început,began
idee,idea
pește,fish
munte,mountain
opri,stop
dată,once
de bază,base
auzi,hear
cal,horse
cut,cut
sigur,sure
ceas,watch
culoare,color
fata,face
lemn,wood
principal,main
deschis,open
par,seem
împreună,together
următor,next
alb,white
copii,children
începe,begin
am,got
de mers pe jos,walk
exemplu,example
ușura,ease
hârtie,paper
grup,group
întotdeauna,always
muzica,music
aceste,those
atât,both
marcă,mark
de multe ori,often
scrisoare,letter
până la,until
milă,mile
râu,river
masina,car
picioare,feet
îngrijire,care
al doilea,second
suficient,enough
simplu,plain
fată,girl
de obicei,usual
tineri,young
gata,ready
de mai sus,above
vreodată,ever
roșu,red
lista,list
deși,though
simți,feel
Discuție,talk
pasăre,bird
curând,soon
corp,body
câine,dog
familie,family
directe,direct
pune,pose
lăsa,leave
cântec,song
măsura,measure
ușă,door
produs,product
negru,black
scurt,short
numeral,numeral
clasă,class
vânt,wind
întrebare,question
întâmpla,happen
complet,complete
navă,ship
zona,area
jumătate,half
rocă,rock
pentru,order
foc,fire
sud,south
problemă,problem
bucată,piece
a spus,told
Știam,knew
trece,pass
întrucât,since
top,top
întreg,whole
rege,king
stradă,street
inci,inch
multiplica,multiply
nimic,nothing
curs,course
ședere,stay
roată,wheel
complet,full
vigoare,force
albastru,blue
obiect,object
decidă,decide
suprafață,surface
adânc,deep
luna,moon
insulă,island
picior,foot
sistem,system
ocupat,busy
testare,test
înregistrare,record
barcă,boat
comun,common
aur,gold
posibil,possible
avion,plane
locul,stead
uscat,dry
întreb,wonder
râs,laugh
mie,thousand
în urmă,ago
a fugit,ran
verifica,check
joc,game
forma,shape
echivala,equate
fierbinte,hot
miss,miss
adus,brought
căldură,heat
zăpadă,snow
anvelope,tire
aduce,bring
da,yes
îndepărtat,distant
umple,fill
est,east
vopsea,paint
limbă,language
printre,among
unitate,unit
putere,power
oraș,town
fin,fine
sigur,certain
zbura,fly
cădea,fall
plumb,lead
strigăt,cry
întuneric,dark
mașină,machine
notă,note
aștepta,wait
planul de,plan
figura,figure
stele,star
cutie,box
substantiv,noun
câmp,field
odihnă,rest
corect,correct
capabil,able
lire,pound
terminat,done
frumusețe,beauty
unitate,drive
stat,stood
conțin,contain
față,front
învăța,teach
săptămână,week
finală,final
a dat,gave
verde,green
oh,oh
rapid,quick
dezvolta,develop
oceanului,ocean
cald,warm
liber,free
minut,minute
puternic,strong
special,special
minte,mind
în spatele,behind
clar,clear
coadă,tail
produc,produce
fapt,fact
spațiu,space
a auzit,heard
cel mai bun,best
oră,hour
mai bine,better
adevărat,true
în timpul,during
sute de,hundred
cinci,five
amintiți-vă,remember
pas,step
devreme,early
țineți,hold
vest,west
teren,ground
interes,interest
ajunge,reach
rapid,fast
verbul,verb
cânta,sing
asculta,listen
șase,six
masă,table
călătorie,travel
mai puțin,less
dimineață,morning
zece,ten
simplu,simple
mai mulți,several
vocală,vowel
spre,toward
război,war
pune,lay
împotriva,against
model,pattern
lent,slow
centru,center
dragoste,love
persoană,person
bani,money
servi,serve
apărea,appear
rutier,road
harta,map
ploaie,rain
regulă,rule
guverna,govern
trage,pull
rece,cold
Anunț,notice
voce,voice
energie,energy
vânătoare,hunt
probabil,probable
pat,bed
fratele,brother
ou,egg
plimbare,ride
celulă,cell
cred,believe
poate,perhaps
alege,pick
brusc,sudden
conta,count
pătrat,square
motiv,reason
lungime,length
reprezintă,represent
artă,art
subiect,subject
regiune,region
dimensiunea,size
varia,vary
rezolva,settle
vorbi,speak
greutate,weight
generală,general
gheață,ice
indiferent,matter
cerc,circle
pereche,pair
includ,include
divide,divide
silabă,syllable
simțit,felt
mare,grand
bilă,ball
încă,yet
val,wave
picătură,drop
inimă,heart
sunt,am
prezent,present
grele,heavy
dans,dance
motor,engine
poziție,position
braț,arm
larg,wide
naviga,sail
materiale,material
fracțiune,fraction
pădure,forest
sta,sit
rasă,race
fereastră,window
magazin,store
vară,summer
tren,train
somn,sleep
dovedi,prove
singuratic,lone
picior,leg
exercițiu,exercise
perete,wall
captură,catch
montură,mount
doresc,wish
cer,sky
bord,board
bucurie,joy
iarnă,winter
sat,sat
scris,written
sălbatic,wild
instrumente,instrument
păstrate,kept
sticlă,glass
iarbă,grass
vacă,cow
muncă,job
margine,edge
semn,sign
vizita,visit
trecut,past
moale,soft
distracție,fun
luminos,bright
gaz,gas
Vremea,weather
lună,month
milioane,million
poartă,bear
finisaj,finish
fericit,happy
speranță,hope
floare,flower
îmbrăca,clothe
ciudat,strange
plecat,gone
comerț,trade
melodie,melody
excursie,trip
birou,office
primi,receive
rând,row
gura,mouth
exactă,exact
simbol,symbol
muri,die
puțin,least
probleme,trouble
strigăt,shout
cu excepția,except
scris,wrote
semințe,seed
ton,tone
se alăture,join
sugerează,suggest
curat,clean
pauză,break
doamnă,lady
curte,yard
crește,rise
rău,bad
lovitură,blow
ulei,oil
sânge,blood
atingeți,touch
a crescut,grew
sută,cent
amesteca,mix
echipa,team
sârmă,wire
costul,cost
pierdut,lost
maro,brown
uzură,wear
grădină,garden
egal,equal
trimis,sent
alege,choose
căzut,fell
potrivi,fit
flux,flow
corect,fair
bancă,bank
colecta,collect
salva,save
de control,control
zecimal,decimal
ureche,ear
altceva,else
destul de,quite
rupt,broke
caz,case
de mijloc,middle
ucide,kill
fiu,son
lac,lake
clipă,moment
scară,scale
tare,loud
arc,spring
observa,observe
copil,child
drept,straight
consoană,consonant
națiune,nation
Dicționar,dictionary
lapte,milk
viteza,speed
metoda,method
organ,organ
plăti,pay
vârstă,age
secțiune,section
rochie,dress
nor,cloud
surpriză,surprise
liniștit,quiet
piatră,stone
minuscul,tiny
urcare,climb
rece,cool
proiectare,design
sărac,poor
lot,lot
experimentul,experiment
de jos,bottom
cheie,key
fier,iron
singur,single
băț,stick
plat,flat
douăzeci,twenty
piele,skin
zâmbet,smile
cutelor,crease
gaură,hole
salt,jump
copil,baby
opt,eight
sat,village
întâlni,meet
rădăcină,root
cumpăra,buy
ridica,raise
rezolva,solve
de metal,metal
dacă,whether
apăsare,push
șapte,seven
punctul,paragraph
a treia,third
trebuie,shall
ținută,held
păr,hair
descrie,describe
bucătar,cook
etaj,floor
fie,either
rezultat,result
arde,burn
deal,hill
în condiții de siguranță,safe
pisică,cat
secol,century
ia în considerare,consider
tipul,type
lege,law
bit,bit
coasta,coast
copie,copy
frază,phrase
tăcut,silent
înalt,tall
nisip,sand
sol,soil
rulou,roll
temperatură,temperature
deget,finger
industrie,industry
valoare,value
lupta,fight
minciună,lie
bate,beat
excita,excite
natural,natural
vedere,view
sens,sense
de capital,capital
nu va,won’t
scaun,chair
pericol,danger
fructe,fruit
bogat,rich
gros,thick
soldat,soldier
proces,process
opera,operate
practica,practice
separată,separate
dificil,difficult
medicul,doctor
vă rog,please
proteja,protect
amiază,noon
cultură,crop
modernă,modern
element,element
lovit,hit
elev,student
colț,corner
partid,party
aprovizionare,supply
a cărui,whose
localiza,locate
inel,ring
caracter,character
insectă,insect
prins,caught
perioada,period
indica,indicate
Radio,radio
a vorbit,spoke
atomul,atom
uman,human
istorie,history
efect,effect
electric,electric
aștepta,expect
os,bone
feroviar,rail
imagina,imagine
furniza,provide
acord,agree
"astfel,",thus
blând,gentle
femeie,woman
căpitan,captain
ghici,guess
necesar,necessary
ascuțit,sharp
aripă,wing
crea,create
vecin,neighbor
spălare,wash
liliac,bat
destul,rather
mulțime,crowd
porumb,corn
compara,compare
poezie,poem
sir,string
clopot,bell
depinde,depend
carne,meat
freca,rub
tub,tube
faimos,famous
dolarul,dollar
flux,stream
frică,fear
vedere,sight
subțire,thin
triunghi,triangle
planetă,planet
grabă,hurry
șef,chief
colonie,colony
ceas,clock
a mea,mine
cravată,tie
intra,enter
majoră,major
proaspăt,fresh
Cautare,search
trimite,send
galben,yellow
pistol,gun
permite,allow
print,print
mort,dead
loc,spot
deșert,desert
costum,suit
curent,current
lift,lift
a crescut,rose
ajunge,arrive
maestru,master
cale,track
părinte,parent
țărm,shore
divizare,division
foaie,sheet
substanță,substance
favoriza,favor
conecta,connect
Mesaj,post
petrece,spend
coardă,chord
grăsime,fat
bucuros,glad
originală,original
acțiune,share
stație,station
tata,dad
pâine,bread
încărca,charge
corespunzătoare,proper
bar,bar
oferta,offer
segment,segment
sclav,slave
rață,duck
instantaneu,instant
piață,market
grad,degree
popula,populate
pui,chick
draga,dear
inamic,enemy
raspunde,reply
băutură,drink
avea loc,occur
suport,support
discurs,speech
natura,nature
gama,range
abur,steam
mișcare,motion
cale,path
lichid,liquid
log,log
însemnat,meant
coeficient,quotient
dinți,teeth
coajă,shell
gât,neck
oxigen,oxygen
zahăr,sugar
moarte,death
destul de,pretty
calificare,skill
femei,women
sezon,season
soluție,solution
magnet,magnet
argint,silver
multumesc,thank
ramură,branch
meci,match
sufix,suffix
mai ales,especially
fig,fig
speriat,afraid
uriaș,huge
sora,sister
oțel,steel
discuta,discuss
înainte,forward
similare,similar
ghid,guide
experiență,experience
scor,score
măr,apple
cumpărat,bought
a condus,led
Pitch,pitch
strat,coat
masa,mass
carte,card
band,band
frânghie,rope
alunecare,slip
victorie,win
vis,dream
seară,evening
condiție,condition
hrana pentru animale,feed
instrument,tool
totală,total
de bază,basic
miros,smell
vale,valley
nici,nor
dublu,double
scaun,seat
continua,continue
bloc,block
diagramă,chart
pălărie,hat
vinde,sell
succesul,success
compania,company
scădea,subtract
eveniment,event
special,particular
afacere,deal
înot,swim
termen,term
opus,opposite
soție,wife
pantof,shoe
umăr,shoulder
răspândire,spread
aranja,arrange
tabără,camp
inventa,invent
bumbac,cotton
Născut,born
determina,determine
quart,quart
nouă,nine
camion,truck
zgomot,noise
nivel,level
șansă,chance
aduna,gather
magazin,shop
întindere,stretch
arunca,throw
strălucire,shine
proprietate,property
coloana,column
moleculă,molecule
selectați,select
greșit,wrong
gri,gray
repeta,repeat
necesita,require
larg,broad
pregăti,prepare
sare,salt
nas,nose
plural,plural
furie,anger
revendicare,claim
continentului,continent
